,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Yearly_IncomeK,Will_vote_only_large_party,Weighted_education_rank,Number_of_valued_Kneset_members,Overall_happiness_score
909,Healthcare,111.5473003,418.1255091,338.9368267,No,181.2544151,10.0,514.4355446999998
910,Social,144.1398174,270.3910432,497.1615219,No,253.5271539,10.0,607.4601683
911,Other,238.2318991,345.8782373,469.776459,Maybe,157.05992959999998,9.0,499.0827582
912,Healthcare,370.2104005,732.4159291,529.1610063999998,Yes,263.7829873,12.0,378.698986
913,Environment,472.00250030000007,478.9755887,489.5406516,Yes,56.64403439,11.0,448.4527131
914,Healthcare,242.6388264,330.69366569999994,409.038498,No,197.9258842,10.0,452.7133641
915,Social,145.23297209999996,569.9202091,490.9986584,No,76.32636244,8.0,470.74502080000013
916,Education,45.79384088,304.7109318,365.4394593,No,257.3076256,9.0,400.1858983
917,Education,174.3162576,374.2422401,376.5090031,No,176.76085869999997,15.0,513.3925614
918,Financial,46.93512213,263.10822540000004,477.20756860000006,No,260.1547369,10.0,605.0870085
919,Foreign_Affairs,314.2880949,436.2106006,451.75961669999987,Maybe,153.46581840000005,8.0,369.0208591
920,Environment,575.2190467,433.2081473,404.9071243,Yes,149.7158094,11.0,405.6018168
921,Healthcare,142.844172,350.0933491,346.4931777,No,214.9495068,13.0,487.0793965
922,Financial,437.318401,519.4200571,571.9687454,Yes,276.2225065,8.0,234.0258768
923,Education,284.54816380000005,314.0744322,397.8116872,No,235.7790482,,397.1360533
924,Social,231.7892053,492.37501060000005,481.5489588,No,32.24470649,13.0,525.3207368
925,Environment,255.2282047,679.0206568,606.8368364,No,211.0287974,8.0,467.2792401
926,Financial,101.9107057,400.4871646,430.6198167,No,121.4212335,11.0,494.8326319
927,Environment,87.54404626,290.3307226,359.1180371000001,No,285.7411241000001,8.0,366.4370686
928,Education,61.48973947,423.5908856,411.17931,No,117.9146657,12.0,513.2815908
929,Education,184.4470351,331.4757633,377.6092497,No,226.3266998,10.0,411.4344259
930,Financial,168.47697580000005,445.7699558,455.5094929,No,72.55781782,,481.4437609
931,Financial,-60.113658,268.4631608,322.014492,Yes,349.4484615,8.0,691.9012202
932,Education,,345.7705765,425.6902039,No,183.7783168,10.0,433.1732926
933,Financial,75.47924541,456.851417,416.6642082,No,105.6268801,11.0,548.4807526000002
934,Financial,90.17133596,433.7421743,424.6814157,No,112.9576531,11.0,448.0727162
935,Foreign_Affairs,117.2768419,534.0007113,405.132404,Maybe,115.9799807,8.0,442.5940178
936,Healthcare,27.61092287,464.4933572,467.8239897,No,55.58744696,11.0,471.822936
937,,412.3514546,397.5856526,469.2649398,Yes,438.8562195,13.0,74.36936327
938,Social,425.4868383,533.4758198,407.1151393,Yes,98.73448416,10.0,499.4798992
939,Social,229.7710237,377.1325164,441.5962801,No,136.463312,11.0,510.7155257
940,Other,184.2483686,354.5239759,432.6237515,Maybe,160.5713273,8.0,491.0379315
941,Financial,189.3639653,684.3506179999998,650.223282,No,237.8435445,7.0,495.8326483
942,Education,274.4505801,270.9212938,485.567867,No,278.63994239999994,16.0,657.9711284
943,Environment,23.29773682,444.7177015,417.3883433,No,101.2893615,13.0,480.5393627
944,Environment,66.45530232,495.2063145,482.87917460000006,No,36.52487219,9.0,468.09444860000013
945,Education,93.9988247,305.7915025,408.9884585,No,233.5193321,10.0,407.6353031
946,Social,123.3094425,370.363139,432.0332578,No,183.3676152,13.0,610.4467678
947,Environment,608.9386566000002,744.4761258999998,327.1494736,Yes,430.963043,11.0,190.026995
948,Healthcare,291.4220131,307.4959825,531.8480923000002,No,251.3114743,14.0,658.383583
949,Environment,45.00258223,368.8347904,408.3936793,No,160.6945993,11.0,484.9426413
950,Environment,206.4993997,463.7050329,408.6904058,No,109.473076,8.0,451.734197
951,Healthcare,485.0364681,257.876554,337.9918092,Yes,295.1988832,11.0,452.3348801
952,Social,55.37004455,574.9297411,398.9621282,No,130.5330747,7.0,
953,Social,299.2466243,279.2436627,493.8876004,No,253.488418,11.0,624.4413764
954,Environment,-110.9773437,549.4254843,333.71331539999994,Yes,212.47971580000004,14.0,377.3073367
955,Education,336.3217017,272.6330534,471.5006342,No,260.6196079,15.0,624.1556998
956,Education,202.8918007,304.2371451,516.9933388999998,No,244.4480781,,
957,Environment,136.3120075,455.563022,495.9824045,No,79.84514797,13.0,433.7847331
958,Foreign_Affairs,62.57944801,431.48031110000005,461.9551568,Maybe,107.6196767,8.0,426.2461055
959,Education,762.9037645,568.2088131,333.4291695,Yes,208.7117984,15.0,605.6519334
960,Financial,37.56912157,380.877603,532.3004587,No,149.6295625,10.0,584.5904302
961,Foreign_Affairs,34.37288097,394.6966184,436.5042344,Maybe,127.48717240000002,10.0,533.6521127000002
962,Social,61.85925258,386.8745951,380.217487,No,180.5417318,10.0,426.1751448
963,Healthcare,151.7150559,293.5648309,375.4682587,No,255.9650789,8.0,414.0087912
964,Social,180.698224,341.5428972,376.4643953,No,201.0041557,12.0,494.2579136
965,Healthcare,129.50216709999998,349.7389206000001,421.2674869,No,180.29195780000003,7.0,438.9427366000001
966,Financial,345.1877023,508.4610556,429.3069529,Yes,75.11496421,8.0,476.059209
967,Financial,89.23690139,312.72360110000005,507.8343743,No,242.901855,11.0,654.4910488
968,Financial,285.88418019999995,267.3203711,504.9433024,No,259.9622327,8.0,615.8279607000002
969,Foreign_Affairs,38.01989927,422.2560028,449.7446039,Maybe,102.3456284,6.0,543.6450881
970,Social,116.94898,463.3420785,430.7767345,No,101.6597911,13.0,435.1999272
971,Financial,268.4309045,337.5537816000001,364.9123141,No,240.6221389,6.0,384.8411663
972,Financial,192.9559265,499.8629976,481.2432851,No,52.07626454,5.0,451.4190963
973,Healthcare,434.7029758000001,622.3077186,363.3083652,Yes,220.6702629,13.0,377.3151033
974,Healthcare,323.7028556,476.9138343,441.672177,No,74.18672564,7.0,460.3948959
975,Social,278.3768708,290.3265225,482.2941831,No,260.2591177,10.0,653.1611740000002
976,Education,180.5824893,369.4717983,470.9247047,No,134.1101692,12.0,489.8731422
977,Social,75.96589185,458.8653625,443.4859978,No,80.10705898,11.0,460.8688096
978,Social,718.8921806,123.5052502,642.8562634,Yes,623.3819488,12.0,24.1335844
979,Education,718.5458506,267.19234730000005,154.74780969999995,Yes,571.6364735000002,13.0,108.3754607
980,Foreign_Affairs,163.0871622,444.4712281,413.8870426,Maybe,117.6310798,7.0,442.2229717
981,Financial,205.444453,336.3022212,380.953703,No,225.0624557,9.0,401.5920463
982,Healthcare,185.2795465,309.4256028,351.9058225,No,277.0735544,7.0,363.9144819
983,Military,330.2288795,392.693439,381.9989487,Maybe,217.0036238,8.0,352.855083
984,Healthcare,178.5717592,441.4016586,417.3527377,No,104.9131379,13.0,527.2475857
985,Environment,131.5712699,490.2250118,488.6099141,No,37.89373855,9.0,465.20559
986,Healthcare,529.2316015,286.87823060000005,537.0583118,Yes,242.1625068,10.0,391.1493105
987,Financial,152.4592821,380.04055510000006,412.3407274,No,151.8003267,9.0,531.1275228000002
988,Education,410.7528922,616.1749051,530.6492685,Yes,224.05161260000003,16.0,689.1114456
989,Education,270.05494510000005,307.21248,526.5681224,No,254.9336681,14.0,664.6762949
990,Social,192.7915014,421.2164633,358.0357083,No,171.2801635,13.0,445.4455442
991,Financial,215.8790877,413.0966369,474.5730898,No,90.9845648,8.0,491.0854749
992,Social,366.6822382,546.1175216,277.55337589999993,Yes,257.7941838,11.0,621.8544822
993,Environment,77.31579141,688.9407237,673.1908298999998,No,256.3574607,8.0,494.95152869999987
994,Environment,516.0720333,522.4750866,573.2296576,Yes,117.23258429999998,14.0,411.25448430000006
995,Education,74.51615562,346.6983415,431.1460053,No,207.2935386,14.0,378.6396273
996,Environment,129.6039343,389.0373536,382.1997347,No,165.2366047,11.0,466.6304912
997,Healthcare,431.7847247,660.3616877000002,704.7053536000002,Yes,310.9175253,12.0,670.4392996
998,Other,295.5843021,451.3324267,336.6138073,Maybe,170.7739992,10.0,510.0089023
999,Education,240.0937832,430.8328268,504.44146780000005,No,69.60136538,13.0,493.6340301
1000,Financial,600.8626072000002,330.8759894,532.1746657,Yes,290.9378809,8.0,265.46490570000003
1001,Healthcare,-53.36772794,,607.5168301,Yes,322.8769114,11.0,702.7202379
1002,Education,87.77754709999998,483.0572629,447.9546422,No,55.8187502,9.0,489.0474995
1003,Education,36.47772719,457.8420803,411.6091166,No,108.6643512,16.0,547.0924916
1004,Healthcare,13.48340933,494.4015477,512.4080374,No,48.18477526,8.0,
1005,Healthcare,39.46500488,347.4291428,392.2124643,No,213.6967563,7.0,396.22001960000006
1006,Environment,584.0011731000002,414.3665659,164.9283466,Yes,347.0033217,11.0,528.3761763
1007,Other,123.7984827,429.3177887,371.8318693,Maybe,195.62741430000003,7.0,370.2038503
1008,Financial,48.34780222,283.8281182,509.5429347,No,279.49505760000005,8.0,676.9071427
1009,Financial,454.3794572,75.25728073,554.4305386,Yes,429.1521653,9.0,528.3287819
1010,Environment,187.1609785,432.3288567,402.6822234,No,128.5001005,15.0,549.6199813999998
1011,Environment,273.96599810000004,409.798058,370.4282979,No,170.0095395,12.0,563.0716037000002
1012,Education,54.85397307,474.0188661,,No,28.37856711,10.0,500.4948386
1013,Foreign_Affairs,72.48232221,536.2054065000002,405.6988329,Maybe,110.5112215,10.0,455.1760275
1014,Environment,257.2842594,499.5661971,455.3632879,No,71.26430243,8.0,444.4484334
1015,Military,43.48720903,381.0075331000001,449.5023642,Maybe,178.1452245,5.0,377.4173641
1016,Social,330.4627317,311.6186441,368.6791408,No,250.4360156,6.0,400.0725534
1017,Financial,17.58082088,364.5788027,414.2033634,No,179.9698115,12.0,581.7873432
1018,Education,531.942059,481.7386145,450.4892794,Yes,71.98544396,12.0,451.0396642
1019,Financial,42.95470619,262.4943983,470.2445772,No,270.6074881,8.0,626.2304109
1020,Education,46.41202914,245.2267765,406.7025143,No,285.310585,11.0,411.7485769
1021,Education,53.65577752,413.6020689,392.9563183,No,137.62219480000002,12.0,504.1129322
1022,Healthcare,140.65829169999998,709.7137997000002,689.5938717,No,283.398386,9.0,519.7213395
1023,Social,206.821647,370.3055282,433.78390830000006,No,146.2297478,9.0,486.6616219
1024,Environment,96.61907036,462.3801905,475.0431365,No,52.0379036,15.0,525.8814278
1025,Social,45.88003495,485.7661329,437.6362813,No,78.09548815,7.0,455.1996776
1026,Healthcare,86.91993042,297.9857208,493.22003160000014,No,258.65206800000004,10.0,661.3851147999999
1027,Education,77.57766011,420.2088158,451.6879631,No,108.425485,16.0,444.724329
1028,Social,58.44518848,291.5386325,369.8817219,No,268.9080037,6.0,390.8001537
1029,Foreign_Affairs,50.94947179,431.47953560000013,,Maybe,166.5233437,6.0,
1030,Healthcare,92.59387103,273.2899738,327.1648825000001,No,303.0496235,9.0,397.1911456
1031,Environment,191.5686979,495.1984623,484.48971039999986,No,34.46413824,9.0,469.6001155
1032,Healthcare,135.7615523,336.3549677,376.0405878,No,225.9880362,8.0,405.5279934
1033,Financial,,704.9678261,319.8671028,Yes,328.2526644,8.0,682.4558612000002
1034,Healthcare,178.8123509,307.4971309,429.7954157,No,211.2085849,7.0,448.7844938
1035,Military,339.2216394,402.1369187,406.9931234,Maybe,145.2339305,,446.4702625
1036,Foreign_Affairs,32.60219549,527.1043183,432.3717795,Maybe,137.3560582,7.0,383.5591719
1037,Environment,86.32926253,451.3283757,404.8321377,No,106.9291414,15.0,502.8270553
1038,Social,371.7775095,208.4068995,679.5655272999999,Yes,473.76916730000005,13.0,172.6058812
1039,Financial,440.4964142,248.4571778,425.15583310000005,Yes,552.1954823,12.0,14.15598186
1040,Financial,127.1690495,427.05351500000006,437.3563263,No,96.36151722,9.0,506.3342301
1041,Other,180.889841,422.200689,349.6785863,Maybe,205.0000417,7.0,384.34639260000006
1042,Financial,56.27708897,281.1330077,502.705622,No,260.114867,8.0,640.5334953
1043,Environment,55.93585587,255.976445,482.44351669999986,No,266.7497838,12.0,606.300149
1044,Social,211.3626313,292.1316987,501.551301,No,268.0624381,10.0,669.2508005
1045,Healthcare,48.46605354,418.3925204,441.97086730000007,No,119.1839715,11.0,435.3651944
1046,Environment,312.1897638000001,418.91270160000005,345.5052543,No,175.718493,14.0,520.8137545
1047,Healthcare,265.6918955,270.93585160000003,528.7693218999998,No,266.3881869,13.0,632.9082697000001
1048,Education,47.98090547,353.3705119,372.1045468,No,206.8573711,15.0,570.2318891
1049,Education,213.2708358,441.4722198,449.0628115,No,84.08471165,14.0,532.4058714
1050,Social,758.4458985,569.9760635,508.1024223,Yes,138.5124252,12.0,380.7381317
1051,Education,80.0765715,286.0777439,335.6864719,No,299.1821963,11.0,370.5847017
1052,Environment,86.3725237,282.36615980000005,493.8180053,No,259.1812302,13.0,640.6136713999998
1053,Healthcare,86.83177261,,499.6364465,No,220.3171424,12.0,598.2875279
1054,Financial,24.32843804,344.6931879,358.183753,No,225.6820996,7.0,581.8557038
1055,Military,146.6118226,480.687884,349.7057525,Maybe,201.8749991,5.0,366.612607
1056,Education,133.00285300000002,685.4051757,615.4929846,No,220.5140361,11.0,469.788554
1057,Education,92.91513221,264.21642940000004,513.3084911000002,No,277.9051667,16.0,646.4932545
1058,Military,194.4722011,338.3623970000001,511.9868029,Maybe,164.6305172,9.0,471.1415687
1059,Social,27.60899939,296.0769778,346.481618,No,267.2143608,6.0,420.9365948
1060,Environment,22.41129485,224.9912754,520.7889252,No,298.8089575,12.0,614.9991961000002
1061,Military,116.414615,382.4928324,438.5129775,Maybe,147.1659336,5.0,563.7904666000002
1062,Social,263.4085687,295.3853502,491.0063099,No,259.1839977,10.0,658.8342007
1063,Healthcare,75.73571092,377.641509,421.0898187,No,149.599491,13.0,534.3742739
1064,Social,230.9346281,697.6825549,681.1318665,No,268.1890804,8.0,493.81637300000006
1065,Other,310.1913147,386.3166686,416.940723,Maybe,203.0199865,8.0,353.7318504
1066,Foreign_Affairs,21.99414675,384.1050911,436.0471726,Maybe,169.5910124,8.0,393.9834096
1067,Social,59.7528416,523.6630261,480.6473065,No,30.61461031,7.0,498.3300244
1068,Other,74.99142125,454.6284312,390.6489691,Maybe,122.2481394,9.0,469.53066510000014
1069,Education,427.3390947,462.5221697,487.1102817,Yes,77.8031525,13.0,433.04779360000015
1070,Foreign_Affairs,127.6247488,484.3946223,475.2517662,Maybe,105.6206747,7.0,398.5124439
1071,Social,131.1348679,425.2418283,448.8749455,No,92.58778138,10.0,519.2338718999998
1072,Healthcare,76.97502486,486.9094662,431.1374865,No,81.33999999,8.0,458.735151
1073,Environment,124.5881451,,411.3202567,No,145.0062499,14.0,543.4058511
1074,Healthcare,227.21764680000004,400.1956227,487.0261783,No,175.1889739,13.0,356.6056389
1075,Other,26.8074863,344.5840798,391.5309034,Maybe,213.5407787,8.0,401.6129531
1076,Environment,124.09664840000002,476.0456251,414.58169310000005,No,94.35837235,8.0,467.8534107
1077,Healthcare,443.3422806,114.733971,278.2609917,Yes,446.5669576,12.0,457.29231
1078,Healthcare,42.21535053,280.00088230000006,366.0919812,No,288.1459966,7.0,370.782563
1079,Financial,201.21719,454.9985855000001,,No,116.3128169,12.0,468.8184921
1080,Environment,113.9805804,509.40365539999993,430.9827261,No,74.53473946,9.0,473.47426619999993
1081,Social,335.6909169,240.9931121,500.28307289999987,No,280.2818403,12.0,607.1133133999998
1082,Healthcare,124.0426401,291.8436617,477.9152703,No,235.4728465,14.0,607.8455607000002
1083,Environment,448.6521818,157.4395772,,Yes,735.397889,13.0,10.4679521
1084,Healthcare,188.6084963,421.3847172,418.2280924,No,117.9461284,12.0,532.3153468
1085,Environment,382.2705152,257.8562401,658.8228230000002,Yes,423.4612658,14.0,191.0321148
1086,Environment,169.97977269999996,464.0788674,504.0453484,No,74.69833417,12.0,565.369324
1087,Healthcare,255.5124686,407.5252871,441.7866202,No,118.2504823,10.0,545.1974164
1088,Financial,64.84293953,437.4624408,428.0068659,No,95.69609351,9.0,492.0134712
1089,Education,94.3624432,300.8046125,398.2579969,No,242.1881201,10.0,407.1299409
1090,Financial,111.0988469,341.3843955,394.3047118,No,213.7271726,6.0,403.3102881
1091,Healthcare,268.7972209,266.7864379,460.8754256,No,,10.0,649.2050399
1092,Military,52.98566586,342.4016622,475.4594108,Maybe,165.51756980000005,6.0,455.7666493
1093,Foreign_Affairs,74.61651986,437.083692,440.1085393,Maybe,159.1916301,10.0,366.5963785
1094,Healthcare,217.8599576,515.3408,414.3785591,No,88.64588738,13.0,482.9201268
1095,Healthcare,395.565852,150.52354340000005,59.22902253,Yes,616.2457437999999,11.0,
1096,Other,18.87670593,397.7048847,371.0972455,Maybe,170.89313700000002,7.0,546.0896251
1097,Education,532.6736707,463.75628560000007,465.630797,Yes,82.60786449,13.0,434.20326510000007
1098,Social,119.9968689,517.975046,450.4584477,No,53.21376942,7.0,492.635384
1099,Healthcare,289.3663602,417.556053,374.2222674,No,174.4240144,13.0,411.6445
1100,Environment,445.9761511,262.772102,217.1757392,Yes,532.1248131,12.0,116.7374547
1101,Financial,52.26007432,308.6666604,514.409115,No,247.4860424,10.0,656.3114575000002
1102,Healthcare,46.58148995,408.2538819,414.2610727,No,132.48882,12.0,457.7534194
1103,Social,266.2898759,390.743378,505.17350760000005,No,,9.0,515.809745
1104,Education,69.93458599,349.987531,364.7139805,No,204.6154877,13.0,467.4201001
1105,Social,278.0488427,323.9449611,478.1202652,No,256.0834355,10.0,684.6743794
1106,Financial,127.3946147,288.75226539999994,501.2077972,No,247.4100352,8.0,628.7814481
1107,Financial,261.1249313,,334.961478,No,205.4801442,8.0,535.4041136
1108,Financial,19.88335777,409.7392752,366.0056924,No,195.6742283,12.0,610.3944323
1109,Education,,495.2279982,445.3965146000001,No,74.26683856,9.0,449.8876194
1110,Healthcare,53.63798174,446.5534549,387.1787748,No,142.27591850000005,10.0,568.2442301
1111,Environment,499.1568535,220.7296666,319.252533,Yes,342.4976422,14.0,418.4949758
1112,Social,156.03982019999995,315.4796397,490.13880210000013,No,247.8124561,11.0,665.1242163
1113,Healthcare,105.7766801,448.5226657,379.3062097,No,135.9764298,10.0,535.674676
1114,Environment,25.38061207,409.0220421,327.0494733,No,197.531111,14.0,528.8039288
1115,Education,166.6788662,463.8011395,436.8205576,No,75.82568686,13.0,478.84496860000013
1116,Education,517.5581582,723.7624559,705.309395,Yes,522.863519,15.0,74.36556158
1117,Healthcare,,699.0122239,645.6596572000002,No,247.3865872,9.0,480.570061
1118,Financial,8.264346046,363.8579118,381.2114209,No,201.1099797,10.0,411.6833581
1119,Environment,291.5832779,288.9373186,491.3663001,No,255.2605449,11.0,643.3036967999999
1120,Foreign_Affairs,107.4499528,427.7288962,364.9884276,Maybe,153.2202542,9.0,505.0208709
1121,Education,129.9918227,528.3757446000002,412.5819157,No,99.06565265,11.0,463.0284001
1122,Financial,35.64171332,376.429319,388.7748783,No,189.8872681,11.0,591.7411232000002
1123,Education,77.7613753,693.1223711,635.6227863,No,237.6472479,9.0,471.9567473
1124,Healthcare,32.22378124,476.82992710000013,539.1976029,No,45.53391567,13.0,499.8179928
1125,,73.19048392,536.6835312,482.4968157,No,41.04441718,9.0,505.7097517
1126,Social,88.58336977,507.1910516,439.5202293,No,68.75086028,6.0,468.1069459
1127,Environment,59.1017371,478.8096002,387.9118325,No,114.1169538,13.0,503.1446447
1128,Environment,142.9865914,332.1302491,395.4773055,No,218.9762014,8.0,405.9503863
1129,,596.2118787,199.9752022,395.5297264,Yes,525.6017837,15.0,81.27775591
1130,Social,49.44738421,450.68399010000013,488.471614,No,51.32462049,12.0,508.32130710000007
1131,Social,75.50103586,318.720348,359.8611576,No,229.2068937,8.0,505.8815589
1132,Environment,68.77016985,324.1879166,390.492727,No,222.0121665,,420.0770962
1133,Foreign_Affairs,98.34849555,440.7193586,551.3623187999998,Maybe,94.05440019,6.0,448.0967443
1134,Foreign_Affairs,80.82706069,406.5667832,397.0963815,Maybe,139.2965246,7.0,490.802116
1135,Financial,639.394559,570.0139651000002,39.76902728,Yes,493.8234571,11.0,335.23622
1136,Social,69.53244065,482.4675531,456.6850622,No,76.29855047,6.0,439.6850079
1137,Education,46.06820196,322.5502485,385.3211377,No,225.7420341,11.0,579.4972337
1138,Healthcare,71.46169802,330.9690495,396.2487891,No,216.55314,7.0,413.0546929
1139,Financial,247.6789691,437.1384775,420.6983251,No,110.0077879,8.0,543.1437915
1140,Social,390.088492,217.1739011,297.4033926,Yes,383.8419101,12.0,662.1685062000001
1141,Education,356.6828551000001,502.6805624,550.4282747000002,Yes,342.0546523999999,16.0,161.6936464
1142,Military,155.75694740000003,463.1318807,541.3573932,Maybe,102.1291565,7.0,414.2056388
1143,Environment,58.75197763,334.2448355,381.1554605,No,223.54304680000004,8.0,408.4975702
1144,Healthcare,285.39360310000006,424.4237578,500.0923019,No,84.91906026,12.0,461.2770108
1145,Healthcare,-137.2297446,697.2448745,346.3237972,Yes,273.7019984,10.0,388.6857238
1146,Financial,452.1348358,284.3835797,339.2459595,Yes,287.2307731,8.0,600.8425248
1147,Social,178.8665505,484.9302325000001,442.6287782,No,89.38190758,13.0,566.8623243
1148,Social,463.5487846,218.2755699,,Yes,396.7588592,12.0,256.49791630000004
1149,Healthcare,53.31254696,393.3344417,433.0294036,No,150.7599585,14.0,417.1388935
1150,Environment,92.78830967,465.3068044,440.2115752,No,103.8104956,13.0,422.551014
1151,Financial,483.03338489999993,242.8273847,527.5392701999998,Yes,282.6184225,11.0,386.0833318
1152,Social,389.7905851,497.8175728,171.20235580000005,Yes,571.3881799,12.0,32.69731619
1153,Financial,254.1863414,298.2275363,505.7499759,No,236.0381306,8.0,622.3470873
1154,Environment,193.6003528,399.8896203000001,348.26895069999995,No,212.1794591,11.0,390.5663515
1155,Environment,88.21348217,459.3425211,420.9799558,No,101.2448567,15.0,548.5110609
1156,Healthcare,77.05157904,430.1879071,457.4662103,No,87.39323729,14.0,530.8986462
1157,Healthcare,207.8024814,427.3083714,425.93261550000005,No,108.7632645,10.0,532.5483853000002
1158,Environment,417.7060943,240.6255003,238.6677687,Yes,377.4517465,11.0,416.9328299
1159,Education,238.3762017,281.13159110000004,517.134374,No,259.8763755,16.0,639.0638822999998
1160,Education,359.7609398,222.8193232,597.1861127999998,Yes,350.303404,14.0,309.11205710000013
1161,Education,52.59260219,321.0162231,369.1763075,No,243.6077231,10.0,399.0312334
1162,Healthcare,392.6102969,266.6386712,340.4270727,Yes,340.41897860000006,10.0,689.6419047999998
1163,Foreign_Affairs,90.05230470000002,378.5751034,521.5952683999999,Maybe,143.64686890000004,9.0,426.3517698
1164,Healthcare,200.781621,315.42397989999995,383.7377149,No,223.5678505,9.0,548.9628187999998
1165,Environment,42.57950784,663.6722649000002,637.0874896,No,214.4146851,8.0,480.1993162
1166,Healthcare,71.0784062,273.7356503,487.1924507,No,268.8411354,12.0,644.6235347999999
1167,Environment,500.9784235,478.9581074,422.7989259,Yes,95.19231859,14.0,448.43634580000014
1168,Environment,578.9365131,476.133275,363.054541,Yes,197.8999775,11.0,359.1429029
1169,Financial,106.353718,253.1753054,370.9848988,No,280.16419080000003,5.0,469.5919819
1170,Healthcare,,537.1037531000002,296.2489434,Yes,235.3905121,14.0,388.1183141
1171,Military,324.7280398,521.5974336,498.8432735,Maybe,97.7267828,8.0,404.6966059
1172,Other,263.9506574,455.4901641,379.9222549,Maybe,137.06176230000003,11.0,451.1519057
1173,Financial,45.08288804,449.4898166,400.7545659,No,132.28966029999998,8.0,428.5883806
1174,Environment,59.62782387,442.8891255,411.2012776,No,112.1026541,13.0,537.6847446
1175,Other,151.5110974,337.0087921,439.5441765,Maybe,181.0778746,9.0,449.3230209
1176,Financial,535.5701831,276.3495132,372.8355,Yes,299.8352863,12.0,346.0167263
1177,Social,11.20758892,514.1836377000002,390.5650893,,119.6864277,10.0,546.3429143999998
1178,Environment,424.7261707,534.8398024,362.5319762,Yes,209.1938274,14.0,653.7881271000001
1179,Education,83.16514309,416.1271105,468.6866953,No,93.29576778,16.0,473.7527973
1180,Environment,54.41013086,730.9266397000001,695.2485467,No,304.1445474,10.0,532.4776509999998
1181,Education,196.8651755,482.1400715,449.2341959,No,106.3960274,12.0,408.2178081
1182,Healthcare,366.227438,521.0590213,566.1444173,Yes,158.9046989,14.0,642.9410263999998
1183,Education,25.85103977,384.6808801,445.5008976,No,146.3503753,12.0,428.23802699999993
1184,Financial,12.01643938,172.65009809999995,530.8148579,Yes,360.3362264,10.0,352.573129
1185,Social,373.4398705,502.1445221,497.4586028,Yes,30.0394214,13.0,470.1451987
1186,Military,244.5905449,335.8732648,512.1525393000002,Maybe,171.3311209,6.0,452.36510130000005
1187,Social,34.11227361,280.6205367,345.3560092,No,296.1404262000001,6.0,374.8719088
1188,Environment,263.820492,333.1358601,499.3813692,No,224.71115490000003,12.0,650.502755
1189,Social,69.52516096,392.5632058,430.0278661,No,128.4314459,10.0,492.5252406
1190,Education,337.35278860000005,363.9012215,456.7607249,No,144.34179719999997,16.0,478.975205
1191,Social,173.29591230000003,531.0218807,426.8752402,No,97.99250708,8.0,442.6158221
1192,Environment,416.0715819,357.9276679,547.0149403,Yes,149.6927265,11.0,503.6000292
1193,Environment,30.94887681,493.6218006,461.0534824,No,56.79910782,8.0,459.1511813
1194,Education,-109.5922517,615.3967051,308.57313710000005,Yes,256.4691787,14.0,625.7608692000001
1195,Healthcare,92.23095008,297.8693575000001,373.785084,No,265.8739322,8.0,382.0934855
1196,Financial,727.3012547999998,,276.1093771,Yes,285.3683662,12.0,417.5049412
1197,Healthcare,75.25905626,296.0942747,503.6475411,No,234.4754536,12.0,615.7060456
1198,Social,151.70891909999997,298.9359386000001,312.7779910000001,No,275.4361887,7.0,519.6534115000002
1199,Healthcare,72.27852264,284.6605204,471.4482381,No,248.9420487,11.0,621.5970766
1200,Healthcare,614.6054339,299.6676878,390.5969541,Yes,300.0272308000001,13.0,694.715889
1201,Social,64.6267392,290.7481705,476.5452044,No,233.683944,12.0,601.3495441
1202,Financial,207.962008,299.4901659,484.7810046,No,242.1131502,,634.844229
1203,Financial,53.46077055,305.721562,507.6112717,No,256.9920834,12.0,668.0562049
1204,Healthcare,26.69837443,539.7224969,464.4643459,No,70.0369656,8.0,545.4369572
1205,Financial,355.3957844,68.94505795,317.5194094,Yes,511.259854,11.0,294.3811552
1206,Military,99.0619959,485.76188560000014,464.5721781,Maybe,137.8481077,6.0,367.5453046
1207,Social,204.8892721,405.8949101,529.810124,No,98.82657007,12.0,495.2798822
1208,Environment,63.05488772,321.4127897,351.5259018000001,No,253.7776865,8.0,397.7006127
1209,Military,143.2009612,404.4207495,439.2110797,Maybe,192.5102627,9.0,344.3416713
1210,Education,437.6829989,120.0516182,243.911028,Yes,552.3295537,13.0,191.5756147
1211,Military,119.210217,547.1794102000001,440.89806060000006,Maybe,104.4800366,6.0,427.9087935
1212,Education,163.42514169999995,312.1602237,326.9717247,No,259.04936519999995,11.0,543.4051612000002
1213,Social,82.34642368,259.6068999,491.50952,No,271.4804102,9.0,
1214,Healthcare,277.7101786,519.4050394,475.5664564,No,42.14531604,8.0,471.668497
1215,Foreign_Affairs,71.6250474,449.9586212,358.2936018000001,Maybe,177.856885,10.0,404.8778224
1216,Financial,473.2814409,213.3320341,624.6023875,Yes,340.3207921,9.0,634.5881267000002
1217,Social,173.8135034,531.3393938,421.1165097,No,95.35314399,7.0,456.5550989
1218,Social,300.7355011,293.8395064,311.2684041,No,281.3282163,7.0,531.9968884
1219,Financial,38.55815365,418.6531736,409.1291584,No,122.5049718,9.0,511.5174694
1220,Financial,,671.7687277000001,638.6735336,No,225.2942124,5.0,455.0262589
1221,Education,434.2513115,454.7098854,429.092959,Yes,112.2253907,16.0,425.73334960000005
