,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
9169,9.0,1118.986765,164620.3081,Education,372.9955884,Yes,441.34652850000003,Yes,Male,By_16:00,0.64645496,0.744570706,7.983164811,7.466067497,9.324108772,3.48824962,5478.0,39.73712281,558.0533019,5529.571889,56963.82001,Yes,194786.7582,23.62315182,302.0712312,90.73527216,139508.7045,100.0,45_and_up,4.0,651.0927306,15.0,Car,Student_or_Unemployed,209.42021210000001,0.0,No
6232,7.0,476.3933327,55094.505170000004,Other,158.7977776,No,346.9475834,Yes,Female,By_16:00,0.989753214,0.527941569,7.0945344189999995,3.30239062,6.109665388,2.4512434659999998,5973.0,57.4132371,480.20346739999997,4429.882768,55672.237120000005,Maybe,120372.6256,21.91354529,154.4511,26.61866869,25385.53194,50.0,45_and_up,2.0,713.7876792999999,9.0,Foot_or_bicycle,Industry_or_other,493.8196006,0.0,No
2655,10.0,364.1455997,58282.7899,Education,121.3818666,No,480.1606001,Yes,Male,After_16:00,0.471392008,0.491806986,6.825384651,4.1749074639999995,9.262390707,4.023640468,9170.0,32.72516257,448.6908477,5698.987696,54931.30195,No,230554.2019,21.18232394,61.38945841,22.82958271,14864.9394,100.0,30-45,2.0,688.2139954,9.0,Car,Hightech,472.752345,0.0,No
8784,,658.8933157,73348.1331,Environment,219.63110519999998,No,333.96058819999996,Yes,Male,After_16:00,0.081055402,0.505574191,0.317172289,6.175857752000001,0.958884691,2.3115746980000003,,9.116026945,397.14346969999997,4133.892822,46775.035339999995,No,111529.6745,19.92845879,216.98165649999999,62.44338413,48467.4535,90.0,Below_30,1.0,593.5692635,9.0,Foot_or_bicycle,Student_or_Unemployed,405.48816400000004,0.0,No
3293,9.0,104.09992890000001,16218.072830000001,Healthcare,34.69997631,No,467.37993960000006,Yes,Female,By_16:00,0.627811982,0.903618033,1.8211204330000001,3.099607213,5.380900672,6.321834961,9625.0,18.87297821,415.5123643,5504.824125,51249.73244,No,218444.0079,20.3841204,110.0191687,16.05901304,1248.788332,80.0,Below_30,1.0,639.4661722999999,7.0,Foot_or_bicycle,Public_Sector,437.53410089999994,1.0,Yes
2528,10.0,263.5633555,46061.3551,Environment,87.85445183,,524.2916454,No,Female,,0.20795006100000002,0.34369403600000004,0.018277533999999998,8.4943901,6.609093593,3.5003141660000003,9251.0,26.43848746,489.2636176,6221.443689,59480.46068,No,274881.7294,22.11930418,26.75051853,6.036843266,7816.2591569999995,90.0,Below_30,2.0,741.1667095,8.0,Car,Industry_or_other,496.8005783,0.0,Yes
4809,6.0,166.212302,27411.68588,Military,55.40410066,No,494.7591523,Yes,Female,After_16:00,0.655507071,0.361095314,1.7929242619999999,6.113596195,6.474749639,9.642695321,9183.0,48.91944819,359.915224,5667.421971,46849.578460000004,Maybe,244786.6188,18.97143178,161.7182545,21.74412149,3135.018471,30.0,30-45,2.0,583.0834201,5.0,Car,Public_Sector,419.3676066,1.0,Yes
5953,10.0,1093.287451,177654.2759,Environment,364.4291503,Yes,487.4864586,Yes,Female,By_16:00,0.089999077,0.043842056,7.127141776,3.235571603,9.645533306,6.339886121,9635.0,6.943879393,149.5679773,5174.000540999999,26574.69872,Yes,237643.0473,12.22979874,416.7050339,33.51522333,133183.0347,90.0,45_and_up,1.0,320.7944066,12.0,Foot_or_bicycle,Services_or_Retail,274.8691624,6.0,Yes
7240,1.0,175.1814427,24964.14245,Education,58.39381425,No,427.5134751,Yes,Male,By_16:00,0.8017291520000001,0.38047228200000005,5.671339235,5.851216353,6.1910241070000005,2.234285714,9879.0,64.88772393,458.9709782,5193.076707,56589.46257999999,No,182767.7714,21.42360797,96.13484028,81.61912845,3478.2313560000002,,45_and_up,1.0,729.8264289,12.0,Motorcycle_or_truck,Hightech,548.002402,1.0,No
3204,9.0,499.69753110000005,75842.57703,Financial,166.5658437,No,455.33090899999996,Yes,Male,By_16:00,0.9442518670000001,0.577451814,2.670290451,1.171079706,5.039844099,7.520784352000001,6172.0,23.35541295,411.29843589999996,5375.905962,53520.061369999996,No,207326.2367,20.28049397,115.9317587,80.28174078,27920.74613,60.0,Below_30,1.0,695.6051842999999,8.0,Public_or_other,Hightech,559.8070022,0.0,Yes
7758,10.0,719.0594166000001,120438.773,Foreign_Affairs,239.6864722,No,502.4846496,No,Female,By_16:00,0.132081231,0.266008282,3.564527009,9.420321292999999,7.488743067000001,2.2293731869999998,8252.0,86.7167474,404.0871772,5833.02085,51479.84349,Maybe,252490.823,20.10191974,103.4440744,6.494933204,57699.29142,40.0,45_and_up,1.0,644.5928,10.0,Foot_or_bicycle,Student_or_Unemployed,461.3317512,1.0,Yes
5942,4.0,1156.612082,151146.0564,Environment,385.5373608,Yes,392.0399727,Yes,Female,After_16:00,0.98048981,0.004452301,0.190367475,0.956536664,2.884990633,1.621320946,8333.0,54.53554129,,4834.880247,52221.1893,Yes,153695.3402,21.38317703,159.7314703,41.26595967,149034.5939,90.0,Below_30,2.0,645.8786872000001,14.0,Public_or_other,Hightech,390.3169122,0.0,Yes
7545,10.0,71.67733111,13648.52322,Education,23.8924437,Yes,571.248525,No,Female,By_16:00,0.461023576,0.154547672,9.004616078,3.039315771,0.356037829,3.031938465,9316.0,56.52315547,326.0066847,6364.498619,42114.42174,Yes,326324.8773,18.0556552,293.29299199999997,74.15541105,604.7413098,100.0,45_and_up,2.0,487.98004349999997,16.0,Car,Student_or_Unemployed,274.8983495,1.0,No
6819,9.0,367.02229750000004,44741.90057,Financial,122.3407658,No,365.7153874,Yes,Male,After_16:00,0.41959929799999995,0.739928633,0.859382863,0.813512455,9.516083854,2.272916569,8573.0,90.17491576,375.8062792,4408.766432,49140.93493,No,133747.7446,19.38572359,192.22148280000002,28.22808311,15099.60375,60.0,Below_30,1.0,654.3465597000001,11.0,Foot_or_bicycle,Public_Sector,559.0987393999999,0.0,No
826,3.0,-43.50191789,-3911.47549,Environment,-14.500639300000001,Yes,269.7450375,Yes,Male,After_16:00,0.19392701699999998,0.053973167,8.4230508,3.406893164,1.400689809,1.69385859,7381.0,58.356207,615.3791545,3928.208684,63342.64342000001,Yes,72762.38524,24.80683685,271.46085939999995,23.23136078,205.76790069999998,90.0,Below_30,3.0,787.9167302999999,15.0,Motorcycle_or_truck,Public_Sector,414.2019749,4.0,No
6177,5.0,363.4280892,53303.60359,Financial,121.14269640000002,No,440.0067455,Yes,Male,After_16:00,0.96192244,0.246462485,2.802844623,5.811328242999999,7.62760659,3.036553899,8616.0,20.85993856,411.33622189999994,5222.739899,51031.19148,No,193605.9361,20.28142554,113.3358325,21.81627636,14806.695590000001,60.0,Below_30,1.0,645.5984712000001,11.0,Motorcycle_or_truck,Services_or_Retail,462.7903938999999,0.0,No
1823,3.0,1255.318599,279764.2226,Social,418.439533,Yes,668.5893674,No,Male,By_16:00,0.293494859,0.9235924520000001,6.69517064,3.081898105,8.464886427,5.873011514,5625.0,73.90636175,240.6892292,7167.272131999999,44609.81697,Yes,447011.7422,15.51416221,327.6770505,7.7059787470000005,175520.0823,70.0,Below_30,2.0,587.580534,10.0,Foot_or_bicycle,Industry_or_other,608.202582,0.0,Yes
8924,5.0,321.69594839999996,32122.91164,Healthcare,107.2319828,No,299.5646522,Yes,Male,By_16:00,0.308056997,0.365244138,2.7229453789999996,3.100885625,5.8354549129999995,7.389270023,7776.0,97.98083629,493.10749649999997,3981.861515,58927.564979999996,No,89738.98086,22.20602388,236.581117,40.89440599,11615.93012,80.0,Below_30,1.0,786.5003029000001,11.0,Motorcycle_or_truck,Public_Sector,625.4941818,2.0,No
187,7.0,286.008734,39012.44897,Environment,95.33624466,No,409.20899610000004,Yes,Female,After_16:00,0.029510364,0.40137023899999996,9.633835593999999,1.536501562,5.843604426000001,0.555213727,5822.0,17.00717586,495.7338181,5083.557597,59562.416529999995,No,167452.0025,22.26508069,110.54466509999999,23.92246588,9194.335791,90.0,45_and_up,6.0,768.5412957000001,11.0,Motorcycle_or_truck,Student_or_Unemployed,562.9199196000001,1.0,No
432,3.0,57.22551919,5926.055257,Environment,19.07517306,No,310.66849229999997,Yes,Female,After_16:00,0.03080333,0.7460255990000001,5.451903907,4.231660978,7.92343288,3.4541074839999997,4411.0,14.621413800000001,,3827.6194520000004,42926.161510000005,No,96514.91212000001,18.98597546,262.7183365,87.55751585,,90.0,Below_30,2.0,546.9529522999999,8.0,Motorcycle_or_truck,Public_Sector,382.9311307,1.0,Yes
2642,9.0,531.1691239,72051.69502999999,Healthcare,177.0563746,No,406.9421119,Yes,Female,After_16:00,0.48894566899999997,0.537317664,0.1004234,6.73534835,3.88685781,7.988512378999999,4099.0,18.20166067,474.1898291,5017.800778,55298.199270000005,No,165601.8825,21.77590019,106.91101100000002,45.07752724,31536.016180000002,80.0,Below_30,3.0,694.5302104,10.0,Foot_or_bicycle,Hightech,454.13030599999996,0.0,Yes
3657,7.0,2171.396839,341374.6604,Environment,723.7989462,Yes,471.6429364,Yes,Female,After_16:00,0.5365797489999999,0.43578882700000005,4.859946498,5.433163829,0.29650020899999996,5.466066301000001,5860.0,93.14599638,641.7879017999999,6000.005168,72904.31834,Yes,222447.0595,25.33353315,169.70786090000001,22.81347993,524618.7135,90.0,30-45,0.0,919.1941939999999,11.0,Public_or_other,Industry_or_other,588.8415775000001,4.0,Yes
7119,2.0,492.3548208000001,108801.9434,Healthcare,164.1182736,No,662.9483786000001,No,Male,After_16:00,0.32982032899999997,0.251051929,2.911685375,0.7615951009999999,3.840034888,8.502128447999999,6877.0,70.04426899,673.6377109,7976.7592079999995,76931.325,No,439500.5527,25.95453161,238.41188209999999,42.03536231,27108.926010000003,80.0,45_and_up,1.0,928.4423797000001,9.0,Foot_or_bicycle,Hightech,511.74720410000003,2.0,No
8701,2.0,219.4859119,20448.25609,Social,73.16197063,No,279.4929648,Yes,Male,After_16:00,0.43620633799999997,0.45216116100000003,6.282804059,4.666890276,,2.575940681,9001.0,61.71980896,526.9126813999999,3848.7550109999997,61755.13225,No,78116.3174,22.95457866,265.6530452,45.74004468,5435.835917,70.0,Below_30,1.0,825.0128257,12.0,Public_or_other,Hightech,645.6842319,0.0,Yes
4213,8.0,1022.3952609999999,107630.15199999999,Social,340.79842030000003,No,315.8176377,Yes,Female,By_16:00,,0.55659797,8.996568031,1.0345337540000001,5.816233847,0.270086275,8838.0,65.59587345,358.7798352,3875.7360479999998,43312.11643,No,99740.78029,18.9414845,252.0206091,24.86853038,116494.3617,70.0,30-45,1.0,555.3712192,7.0,Car,Services_or_Retail,401.77520739999994,0.0,No
813,6.0,535.518704,75040.48043,Social,178.5062347,No,420.38016519999996,Yes,Female,After_16:00,0.227102985,0.046549787,7.4151483339999995,0.283367357,4.22770702,0.29505871,8308.0,73.73189735,363.7787724,4931.359197,47251.66711,No,176719.4833,19.07298541,159.256585,80.75842853,32052.98205,70.0,45_and_up,2.0,608.6324445,11.0,Motorcycle_or_truck,Student_or_Unemployed,478.3870656,0.0,Yes
237,10.0,436.4608223,75142.09104,Foreign_Affairs,145.4869408,No,516.4868451,No,Male,By_16:00,0.119605509,0.451960666,9.626807524,7.333904959,7.033540788,7.538203867000001,6730.0,57.6477502,431.10746409999996,6027.083379,54736.20172999999,Maybe,266758.6612,20.76312751,70.85206719,19.13533213,21321.936869999998,40.0,45_and_up,4.0,688.9351464,6.0,Public_or_other,Services_or_Retail,498.57948849999997,0.0,Yes
7559,1.0,1235.27207,279973.5411,Social,411.7573567,Yes,679.9478785,No,Female,By_16:00,0.694529225,0.32931121399999996,8.303852398,8.48679279,9.798480927,8.329735512000001,3458.0,24.25176809,481.31517410000004,7762.109133,54409.039979999994,Yes,462329.1174,21.93889637,359.879485,7.320805872,169965.8781,70.0,30-45,3.0,595.6287081,10.0,Motorcycle_or_truck,Public_Sector,188.9005271,1.0,No
5531,7.0,202.5063061,23153.72633,Financial,67.50210204,No,343.00748619999996,Yes,Female,After_16:00,0.43916673799999995,0.44637018799999995,8.536158467,0.633248787,3.983818917,9.537395278,8840.0,25.52456246,435.16224500000004,4300.399352,52961.64026,No,117654.1356,20.86054278,173.5339331,44.22850295,4634.035881,60.0,45_and_up,2.0,693.7192342999999,9.0,Public_or_other,Student_or_Unemployed,535.5449303,0.0,No
7983,7.0,1233.312778,205859.9375,Education,411.1042593,Yes,500.7487342,No,Male,After_16:00,0.87100886,0.629373129,6.174111185,2.3724890430000003,0.7101467140000001,8.218331416,7030.0,51.75590261,517.0674941999999,6041.62233,60231.684779999996,Yes,250749.2948,22.73911815,52.69174218,46.23879967,169427.8163,100.0,30-45,3.0,740.5129391,13.0,Car,Hightech,450.15464180000004,0.0,Yes
3668,1.0,1329.158933,196844.668,Education,443.05297750000005,Yes,444.29149110000003,Yes,Female,After_16:00,0.6076062210000001,0.545398498,2.77417649,0.543435805,4.7493644569999995,7.626646023999999,5468.0,8.231040998,476.2235154,5395.361940999999,55218.35061,Yes,197394.92899999997,21.82254603,103.5775522,95.13014038,196748.9939,100.0,45_and_up,1.0,681.0197484,13.0,Motorcycle_or_truck,Services_or_Retail,415.9788709,0.0,Yes
6357,10.0,152.6571006,19525.18135,Education,50.8857002,No,383.706646,Yes,Male,By_16:00,0.09080161199999999,0.189476218,7.184693922999999,4.168189482,3.1047878069999997,8.701702054,7268.0,84.94073006,403.3141896,4643.694839,49036.18187,No,147230.7902,20.08268382,160.7335561,19.71497121,2650.240185,100.0,45_and_up,1.0,624.1367769,14.0,Foot_or_bicycle,Industry_or_other,445.5666835,0.0,Yes
5678,10.0,-65.21864544,-13180.44489,Social,-21.73954848,Yes,606.2888057,No,Female,By_16:00,0.25163029,0.7808792309999999,,5.488543406000001,0.092123884,2.065059089,8242.0,80.38405343,358.8379875,6780.564031999999,53584.8336,Yes,367586.1159,18.94301949,221.4740222,16.17346224,460.86841969999995,70.0,Below_30,1.0,700.3414368,9.0,Foot_or_bicycle,Student_or_Unemployed,633.5167349999999,1.0,Yes
5636,4.0,66.70948426,16160.9657,Education,22.23649475,No,726.7766740000001,No,Male,After_16:00,0.881539713,0.717074289,0.063426329,7.1310230720000005,8.392128357999999,9.018059922,4103.0,68.30150671,626.195137,8520.157014,73535.18506,No,528204.3339,25.02389132,260.1527009,28.04290596,526.6981937,100.0,45_and_up,1.0,877.21787,11.0,Car,Hightech,481.9291586,0.0,No
8571,8.0,1501.679092,277404.2567,Education,500.55969730000004,Yes,554.1881582000001,No,Female,By_16:00,0.45686152399999996,0.396375682,0.18718465,7.307608703,4.910918444,4.295275828,9218.0,41.20389407,357.6179421,6257.117466,47635.793139999994,Yes,307124.5147,18.91078904,173.19409419999997,75.68332031,251070.5702,,45_and_up,3.0,586.0827697000001,12.0,Public_or_other,Industry_or_other,417.615612,0.0,Yes
9391,6.0,32.76668308,3846.5914329999996,Healthcare,10.92222769,No,352.1801176,Yes,Male,By_16:00,0.664564383,0.009556198,9.802030887999999,6.602422851,2.7007923760000003,4.684669527,7745.0,36.49921839,437.52714840000004,4396.855473,53332.06846,No,124030.8352,20.91714962,164.6099314,19.72365226,,80.0,Below_30,3.0,697.3149364,13.0,Foot_or_bicycle,Services_or_Retail,536.644982,2.0,Yes
5976,10.0,999.2297587000002,123596.1051,Financial,333.07658619999995,No,371.0741318,Yes,Female,By_16:00,0.842500273,0.149480231,2.089230486,7.056374731,9.222293058,4.890437806,3525.0,20.25375548,424.530728,4559.802774,51331.85521,No,137696.0113,20.60414347,150.6040355,74.73546306,111283.0889,60.0,30-45,2.0,659.6445625,10.0,Motorcycle_or_truck,Hightech,480.9189883,1.0,Yes
3778,1.0,201.8592084,,Social,67.28640279,No,332.33097680000003,Yes,Male,By_16:00,0.525119152,0.036558881,5.637150186,1.587549844,3.5752020260000004,8.107834891,5122.0,41.79258267,383.75122799999997,4090.8122240000002,45561.96657,No,110443.8781,19.58956937,226.9813029,21.669428399999997,4604.7464039999995,70.0,Below_30,0.0,578.8753272999999,7.0,Car,Services_or_Retail,400.5322488,0.0,No
6434,3.0,599.0325698,82130.91054,Education,199.6775233,No,411.3177548,Yes,Male,After_16:00,0.869682168,0.716485857,2.40153329,1.025170654,7.933601658,1.3123878979999999,6655.0,70.35260363,473.3087738,5059.795095,,No,169182.2954,21.75566073,103.87609,17.25192394,40080.79082,100.0,30-45,1.0,693.5869174,15.0,Foot_or_bicycle,Student_or_Unemployed,452.95449110000004,0.0,Yes
4713,1.0,73.41523576,16920.90864,Social,24.47174525,No,691.4467467000001,No,Male,After_16:00,0.8804110829999999,0.451068814,7.2348364279999995,7.904630047,1.9190363940000001,1.270558836,3224.0,28.73674876,646.2041406000001,8206.875748,75356.60777,No,478098.6035,25.42054564,241.5338871,46.90802344,633.3380609000001,70.0,,2.0,909.5475713999999,8.0,Motorcycle_or_truck,Hightech,517.6383404000001,1.0,Yes
1524,4.0,367.53700630000003,64522.15641,Healthcare,122.51233540000001,No,526.6584478,No,Female,After_16:00,0.12461646400000001,0.275783163,1.112554159,1.6149847880000001,2.840172378,2.943859203,8190.0,79.39293624,471.58916849999997,6209.762815,57659.18426,No,277369.1206,21.7161039,45.06939708,51.85084448,15141.78467,80.0,45_and_up,3.0,715.7669043999999,8.0,Car,Hightech,477.341616,0.0,No
6758,10.0,514.1599461,55400.12455,Education,171.3866487,No,323.2464429,Yes,Female,By_16:00,0.37660859399999996,0.24472908399999999,2.657501523,6.310341209,2.965694165,9.334204833,9565.0,4.545634589,563.0189532,4358.502335,66888.78392,No,104488.2628,23.72802042,282.3425152,15.08115248,29554.77,100.0,Below_30,3.0,894.5216617000001,16.0,Public_or_other,Services_or_Retail,710.9599191000001,5.0,No
507,8.0,462.6344914,103578.1938,Environment,154.2114971,No,671.6632399,No,Female,After_16:00,0.244997608,,3.3944975960000003,5.410048801,7.658164371,7.845224097999999,5889.0,39.97228174,643.0504815,8002.733362000001,73563.25039,No,451131.5078,25.35844004,226.13868819999996,74.52540323,23945.39735,90.0,45_and_up,3.0,878.540818,8.0,Foot_or_bicycle,,465.25812149999996,1.0,No
1931,3.0,1091.7936,194094.1459,Education,363.9312,Yes,533.3264802,No,Male,By_16:00,0.291485033,0.9724569829999999,2.798647557,7.155184066,3.312105618,2.224033151,8314.0,40.18730368,498.43388260000006,6330.132567000001,60426.08252999999,Yes,284437.1344,22.32563286,33.36978428,63.29357331,132819.8495,100.0,30-45,4.0,751.5931805,13.0,Foot_or_bicycle,Services_or_Retail,499.3400763,0.0,No
6293,7.0,802.4546042000001,127539.8783,Environment,267.48486809999997,No,476.8115641,Yes,Male,By_16:00,0.194963763,0.069131555,7.461235076,5.1524918060000005,1.153221771,5.910523499,8289.0,27.42919317,441.8272456,5651.770133,54467.33335,No,227349.2677,21.019687100000002,66.07403481,76.30191213,71825.63951000001,90.0,30-45,3.0,684.7899624,10.0,Motorcycle_or_truck,Industry_or_other,478.9285699,2.0,Yes
4039,2.0,186.9494304,32075.589160000003,Foreign_Affairs,62.31647681,No,514.7208378,No,Male,After_16:00,0.103208886,0.17352235100000002,3.068323985,9.889489787,3.920525904,9.649675901,4467.0,92.13952497,484.42168380000004,6116.051746,57740.31916,Maybe,264937.5409,22.00958164,58.97481191,89.29051007,3955.6597590000006,40.0,Below_30,4.0,709.980517,9.0,Foot_or_bicycle,Student_or_Unemployed,445.05783550000007,0.0,No
8646,3.0,216.7850969,28690.7091,Environment,72.26169896,No,397.0389503,Yes,Female,After_16:00,0.613233316,0.933126955,1.369605949,1.920875313,7.210400552,7.74989668,7324.0,1.838883315,330.50105,4631.391603,44645.503410000005,No,157639.9281,18.17968784,198.3294533,36.29067983,5304.014835,90.0,45_and_up,1.0,586.1930413,13.0,Public_or_other,Services_or_Retail,498.07640250000003,1.0,Yes
6119,3.0,565.7287972,78392.89482,Education,188.5762657,No,415.7092331,Yes,Male,By_16:00,0.895192938,0.08440118099999999,1.902532266,7.442480702999999,3.821610019,6.116695448,9876.0,62.58699007,420.60908830000005,4998.310508,52609.78315,No,172814.1665,20.50875638,117.0525554,72.05415796,35759.58427,100.0,Below_30,1.0,678.6843011,14.0,Motorcycle_or_truck,Hightech,517.1303966,1.0,No
8694,1.0,228.37941400000003,22649.7484,Environment,76.12647134,No,297.5278901,Yes,Male,After_16:00,0.36607633700000003,0.08505352699999999,2.030910763,,9.377092952,1.523483149,8500.0,0.612717262,395.5962777,3766.471457,45835.19056,No,88522.84541000001,19.88960225,250.03480580000002,53.65204934,5881.36611,90.0,45_and_up,1.0,584.2571393,8.0,Public_or_other,Student_or_Unemployed,396.93540079999997,2.0,No
2852,10.0,1058.394544,154402.5624,Environment,352.7981812,Yes,437.65124249999997,Yes,Male,By_16:00,,0.549857021,7.825622549,8.366004792,9.35754515,1.313261271,5052.0,31.8266592,410.995946,5198.504317,49744.26761,Yes,191538.6101,20.27303495,141.2516427,35.35943679,124829.3548,90.0,Below_30,3.0,618.5423628,,Motorcycle_or_truck,Hightech,409.7617744,0.0,Yes
7539,5.0,452.3495811000001,56379.31804,Other,150.7831937,No,373.9098281,Yes,Male,After_16:00,0.203069892,0.44385869299999997,8.567119809,9.536174117,2.7037713439999997,4.81592268,4266.0,7.353864959,367.0412723,4473.180825,46691.193139999996,Maybe,139808.5595,19.15832123,184.67513780000002,19.01956904,22896.3547,50.0,45_and_up,1.0,606.2373514,8.0,Foot_or_bicycle,,477.0184472,0.0,Yes
4211,1.0,1679.216562,361026.4788,Healthcare,559.7388539,Yes,644.9909207999999,No,Male,By_16:00,0.925164312,0.070128013,9.023784800000001,4.707839235,0.107465836,9.959065185,7137.0,51.20097231,537.5454578,7525.000123999999,63365.46016,Yes,416013.2879,23.18502659,175.4779868,14.71959527,313877.3234,80.0,Below_30,1.0,752.572132,13.0,Foot_or_bicycle,Public_Sector,408.5642557,0.0,No
9070,4.0,191.58566130000003,21013.81418,Social,63.86188711,No,329.050943,Yes,Male,By_16:00,0.25558189,0.98946042,0.23202505699999998,6.605581002999999,5.30366895,6.688571917000001,9049.0,87.40677421,391.06164,4072.6327100000003,46409.70807,No,108274.5231,19.77527851,220.04694700000002,91.17876415,4152.202512,70.0,Below_30,0.0,592.0542842,7.0,Public_or_other,Services_or_Retail,414.3874277,2.0,No
129,5.0,1760.1772600000002,260803.8228,Social,586.7257532000001,Yes,444.5072018999999,Yes,Male,By_16:00,0.084319467,0.513779055,9.163992824,4.910834769,3.4640008489999996,1.728331342,6078.0,58.62918699,54.75413983,4554.580298,25233.54752,Yes,197586.6525,7.399604032,455.4392745,65.77490019,344843.8353,70.0,Below_30,2.0,382.78583510000004,13.0,Motorcycle_or_truck,Services_or_Retail,578.1127781,0.0,Yes
5930,5.0,292.3309832,35457.653439999995,Social,97.44366106,No,363.8785022,Yes,Female,After_16:00,0.107389564,0.5197761439999999,7.466262095,2.016702483,2.7579007,0.763954688,7899.0,78.41699615,460.69191689999997,4560.168856,53134.6794,No,132407.5644,21.46373492,154.318997,4.832522711,9602.710742,70.0,45_and_up,3.0,670.43213,10.0,Car,Student_or_Unemployed,438.8431092,0.0,Yes
6155,5.0,303.70768480000004,35774.5679,Environment,101.2358949,No,353.37829460000006,Yes,Female,After_16:00,0.021277495,,9.310776694,8.968728492,0.632582081,6.58939335,6719.0,87.10445419,385.98432139999994,4305.751589,50117.74583,No,124876.2191,19.64648369,200.413131,69.13641361,10359.94232,90.0,30-45,2.0,670.3665254,14.0,Car,Public_Sector,575.2856135,0.0,No
5263,8.0,448.4508723,74048.37092999999,Social,149.4836241,No,495.3610898,Yes,Female,After_16:00,0.274962112,0.113217051,6.265763156,9.503436359,4.873087641000001,4.470978139,8004.0,57.54982363,464.9168721,5883.444642,56142.39423,No,245382.6093,21.56193109,55.12415205,92.60288763,22504.8375,70.0,Below_30,0.0,696.8288142000001,7.0,Motorcycle_or_truck,Industry_or_other,457.73504060000005,2.0,No
3995,2.0,859.9893882000001,112301.9846,Healthcare,286.6631294,No,391.7559432,Yes,Male,After_16:00,0.115841301,0.228939599,9.615274947,2.480547975,0.218011767,0.984567883,8053.0,90.85534759999999,369.298906,4656.157243,47905.96604,No,153472.719,19.21715135,169.931871,80.59206961,82472.41288999999,80.0,Below_30,0.0,625.9403168,14.0,Foot_or_bicycle,Student_or_Unemployed,508.79141430000004,0.0,No
9877,6.0,,80915.09185,Environment,187.1609785,No,432.32885669999996,Yes,Female,After_16:00,0.676742966,0.9465112240000001,7.848044601000001,0.8803669129999999,7.365315417000001,6.2338755610000005,6470.0,59.07126009,402.6822234,5128.653014,52205.428,No,186908.2404,20.06694355,128.5001005,86.00832489,35226.39284,90.0,45_and_up,0.0,680.4568774,15.0,Car,Industry_or_other,549.6199813999999,0.0,No
4329,6.0,324.08266160000005,29597.22425,Financial,108.02755390000002,No,273.978473,,Female,After_16:00,0.826448462,0.009347673,0.470622685,0.035817882,3.392580971,9.270472998999999,3749.0,61.66092148,512.8245545,3765.4338390000003,60413.55549,No,75064.20367,22.64562992,266.4049625,20.06584581,11787.97995,60.0,45_and_up,2.0,809.1564047999999,,Motorcycle_or_truck,Public_Sector,640.432917,0.0,No
8933,,518.8214132,67722.90137,Environment,172.9404711,No,391.59660519999994,Yes,Female,By_16:00,0.151079838,0.833733245,8.86443014,9.151105855,4.223674051000001,4.401870647,3635.0,99.48810413,449.07281219999993,4814.1116759999995,55142.92212,No,153347.9012,21.19133814,128.3304373,3.283758345,30091.34701,90.0,Below_30,3.0,716.3676885,12.0,Public_or_other,Hightech,546.0849939,2.0,No
1777,7.0,515.3779319,70374.37912,Healthcare,171.792644,No,409.6472206,Yes,Male,After_16:00,0.8694810059999999,0.63528745,6.355180708,8.923379784,1.597135398,7.125063771000001,6101.0,17.66380302,321.2784163,4739.029039,42490.950860000004,No,167810.8454,17.92424102,213.0979298,40.70183265,,80.0,45_and_up,3.0,543.6951839,11.0,Public_or_other,Industry_or_other,427.1597745,1.0,Yes
1336,6.0,799.9726849,116510.4204,Healthcare,266.6575616,No,436.9289951,Yes,Female,By_16:00,0.6971393109999999,0.094005183,8.776427775,8.297193692999999,6.085894337999999,7.244567312,8324.0,90.96243582,459.654394,5288.598738000001,57539.0962,No,190906.9467,21.43955209,109.5373435,63.47291712,71382.91274,80.0,30-45,2.0,747.3590665,10.0,Public_or_other,Public_Sector,579.9544248,0.0,Yes
7693,3.0,2260.656867,429999.5065,Healthcare,753.5522890999999,Yes,570.6299518999999,No,Male,After_16:00,0.442738801,0.060063942,3.563865582,4.0189825180000005,8.113963539,8.958613558,,17.21690109,490.3502977,6687.000114,49827.21324,Yes,325618.542,22.14385463,466.4154506,13.14501611,568604.6048,80.0,45_and_up,2.0,517.9104423,11.0,Car,Hightech,39.064358399999996,0.0,No
2213,10.0,419.45451799999995,39711.59636,Social,139.8181727,No,284.0231395,Yes,Male,By_16:00,0.28358933,0.523337697,5.354359446,5.399337271,4.017336301,9.821456124,4243.0,77.9136738,518.0609137,3876.3532219999997,61176.89314,No,80669.14377000001,22.76095151,262.43360409999997,0.6924831770000001,19698.939580000002,70.0,30-45,2.0,818.6490205,9.0,Motorcycle_or_truck,Hightech,647.9837683999999,3.0,No
